Countries,manners,independence,work,responsibility,imagination,respect,money,determination,religious,unselfishness,obedience,continent,y2010,y2011,y2012,y2013,y2014
Algeria,0,31.2,59.5,56.3,23.4,61.4,31.2,35.2,64.7,34.3,47.9,Asia,0024683,0024899,0024980,0024920,0024676
Azerbaijan,0,58.5,74,79.2,13.3,71.7,52.8,39.7,19.4,21.7,6.4,Asia,0006327,0006611,0006982,0007296,0007403
Argentina,0,44.1,40.6,57.3,31.4,58.2,13.4,25.1,23.2,42.3,35.3,America,0010681,0010424,0010224,0009973,0009770
Australia,0,65,59.1,65.9,39.8,86.3,30.7,50.3,15.2,49.2,28.2,Australia,0001478,0001396,0001323,0001243,0001171
Armenia,0,28,81.9,79.6,6.1,56.3,28.5,32.8,38.1,24.1,24.2,Asia,0000831,0000779,0000723,0000671,0000620
Brazil,0,37.6,64.1,77.9,24.4,64.2,26.6,28.2,49.8,31.5,51.5,America,0047835,0046876,0047449,0049094,0051117
Belarus,0,38.6,87.6,80.6,12.1,60.7,55,35.1,14.4,13.9,33.8,Europe,0000659,0000627,0000617,0000604,0000579
Chile,0,49.2,30.5,76.9,22.2,82,36.4,53.6,27.5,42.7,45.8,America,0002104,0002070,0002036,0001979,0001948
China,0,69.7,75.3,65.9,17,52.2,50.7,26,1.2,29.2,7.5,Asia,0251554,0233813,0219549,0205470,0193048
Colombia,0,36.4,13.6,82,20.8,86.4,29.4,24.3,60.3,45.8,66.4,America,0014307,0013743,0013190,0012772,0012364
Cyprus,0,43.1,40.8,80.7,23.4,69.7,30.6,41,37.4,36,37.2,Europe,0000047,0000045,0000043,0000040,0000038
Ecuador,0,37.4,44.3,75,25.1,67.7,47.3,25.4,49,54.1,59.7,America,0008332,0008139,0007868,0007602,0007333
Estonia,0,54.5,87.5,88.4,36.8,84.5,77,69.4,18.8,42.5,62.7,Europe,0000074,0000066,0000057,0000049,0000042
Georgia,0,61.6,91.3,87.7,9.2,67.4,24.6,24.7,63.6,14.6,18.8,Europe,0001026,00000955,00000877,00000801,00000734
Germany,0,73.5,17.9,80.9,29.5,66.7,38.1,59.6,12.1,5.9,12.6,Europe,0002784,0002734,0002687,0002641,0002594
Ghana,0,28.8,85.5,34.9,12,66.1,24.4,45.9,70.6,24.6,73.8,Africa,0057907,0057265,0056788,0056189,0055364
Haiti,0,16.8,78.4,34.7,9.9,43.8,3.8,31.5,12.3,67.7,84.3,Asia,0059719,0020630,0019947,0019191,0018465
Hong Kong,0,72.6,58,79.3,18.8,69.2,43.7,43,10.9,15.1,17.7,Asia,0000191,00000190,0000188,0000185,0000182
India,0,89.9,94.6,90.5,69.2,89.3,85.7,84.7,83.1,81.1,89.9,Asia,1595122,1505869,1414819,1333577,1260762
Iraq,0,36.8,57.8,70.3,15.3,74.2,27.4,22.2,75,34,68.4,Asia,0039743,0039866,0039808,0039564,0039102
Japan,0,67.7,35.1,87.3,31.6,64.6,47.8,67.8,4.4,45.1,5,Asia,0003461,0003670,0003222,0003094,0002964
Kazakhstan,0,43.7,84.7,75,12.4,60,52.8,44.7,10,29.7,32.9,Asia,0007944,0007439,0006970,0006489,0005994
Jordan,0,43.6,39.5,73.1,14.8,76.5,27.9,27.4,79.8,36.5,56.2,Asia,0003788,0003826,0003845,0003829,0003786
South Korea,0,57.8,64.3,87.8,14.5,40.8,65.1,54.5,25,10.5,8.7,Asia,0002019,0001954,0001830,0001748,0001670
Kuwait,0,41.8,51.3,60.3,28,67.8,36.5,28.4,73.8,39,56.3,Asia,0000763,0000753,0000725,0000677,0000634
Kyrgyzstan,0,61.2,84.6,76.3,14.8,57.6,41.3,51.9,24.8,28.8,38.6,Asia,0004229,0004174,0004097,0004010,0003871
Lebanon,0,32.3,39.8,51.7,18.7,46.9,24.5,30.8,33.6,28.7,17.4,Asia,0000506,0000556,0000644,0000741,0000816
Libya,0,38.4,41.4,71.8,12.2,80,29.8,25.2,79.1,35.3,59,Asia,0002378,0002503,0002101,0001946,0001797
Malaysia,0,71.7,43.6,64.9,24.4,74.6,60.4,40.1,63.8,30.6,24.9,Asia,0003484,0003539,0003631,0003752,0003787
Mexico,0,38.5,38,74.9,23.8,77.9,34.6,27,35.3,43.4,54.6,America,0039580,0037776,0036230,0034428,0032785
Morocco,0,43,67.1,63.8,23.9,56.6,23.8,19.2,77.6,25.3,29.2,Asia,0022552,0022189,0021733,0021279,0020579
Netherlands,0,60.7,31.3,90.8,20,86,47.5,37.1,13.9,22.9,25.6,Europe,0000765,0000739,0000725,0000699,0000692
New Zealand,0,53.5,50.2,56.1,36.3,83.1,33.4,48.5,15.9,36.6,24.1,Australia,0000410,0000403,0000389,0000372,0000356
Nigeria,0,38.9,78,42.6,15.1,59.8,19.1,36.9,72.7,31.7,62.8,Africa,0811738,0798817,0786546,0775020,0762534
Pakistan,0,43.1,55.7,62.3,31.2,52.8,42.4,35.9,72.8,36.6,50,Asia,0470193,0470143,0464260,0454447,0442
Peru,0,33.3,16.5,71.3,16.7,67.6,23.8,23.4,42.1,38.6,52.3,America,0012676,0012116,0011658,0011267,0010843
Philippines,0,65,69.5,67.2,14,62.3,41.9,29.9,59.8,31.8,40.8,Asia,0071913,0070521,0069223,0068102,0066959
Poland,0,43.4,17.9,81,16.8,82.6,49.5,19.3,39.5,15.1,34.1,Europe,0002581,0002427,0002262,0002108,0001999
Qatar,0,34.3,48.9,75.6,12.4,76.9,25.2,18.1,84.7,32.5,46.9,Asia,0000159,0000178,0000197,0000214,0000224
Romania,0,42.2,77.3,70.4,32.7,65.2,39.4,29.9,51.7,12.6,13,Europe,0003010,0002774,0002495,0002247,0002028
Russia,0,37.8,84.5,77.5,16.5,63.5,50.3,45.4,13.9,22.6,34.8,Asia,0019607,0019314,0019145,0019260,0018916
Rwanda,0,30.3,69.2,72,33.3,56.4,41.9,35.4,42.2,52,60.6,Africa,0023396,0021081,0018765,0016815,0015250
Singapore,0,72.1,60.8,69.7,18.8,54.1,47.4,44.3,26.2,26,37.5,Asia,0000145,0000147,0000148,0000149,0000150
Slovenia,0,88,50.9,83.1,26.2,81.2,54.6,65.2,23.4,44.2,41.2,Europe,0000072,0000069,0000067,00000063,0000060
South Africa,0,63.5,70.2,57.4,28.1,52.5,30.4,35.3,44.3,27.8,37.2,Africa,0065444,0060356,0056085,0048552,0044141
Zimbabwe,0,39.1,76,43.1,13.3,63.8,25.1,49.4,59.6,29.5,70.1,Africa,0043672,0042864,0040169,0039030,0038529
Spain,0,43.1,66.6,78.6,24.8,74.1,29.6,37.5,10.6,35,31.4,Europe,0002249,0002132,0001978,0001808,0001665
Sweden,0,70.3,13.8,82.5,46.7,87,38.6,33.6,4.4,30.4,12.2,Europe,0000345,000332,0000333,0000335,0000338
